x	VE	analog 5.24
x	HN	calvarycomics.com
x	PS	2016	04	03	02	21
x	FR	2010	08	10	08	36
x	LR	2016	04	03	04	37
x	E7	2016	04	03	02	21
x	SR	468645
x	S7	2018
x	NC	169995
x	C7	0
x	FL	115252
x	F7	1099
x	RR	232
x	R7	0
x	NH	33873
x	H7	218
x	BT	13091668797
x	B7	55707962
1	Rr	22359	4.771	2016
1	Rr	112681	24.044	2015
1	Rr	85030	18.144	2014
1	Rr	88096	18.798	2013
1	Rr	85793	18.307	2012
1	Rr	42362	9.039	2011
1	Rr	32324	6.897	2010
1	*BT	R	112681	2015
Q	Rr	509	0.109	2016	2
Q	Rr	21850	4.662	2016	1
Q	Rr	32736	6.985	2015	4
Q	Rr	39811	8.495	2015	3
Q	Rr	22596	4.822	2015	2
Q	Rr	17538	3.742	2015	1
Q	Rr	23639	5.044	2014	4
Q	Rr	21904	4.674	2014	3
Q	Rr	20515	4.378	2014	2
Q	Rr	18972	4.048	2014	1
Q	Rr	21812	4.654	2013	4
Q	Rr	22211	4.739	2013	3
Q	Rr	22328	4.764	2013	2
Q	Rr	21745	4.640	2013	1
Q	Rr	31799	6.785	2012	4
Q	Rr	21335	4.552	2012	3
Q	Rr	19641	4.191	2012	2
Q	Rr	13018	2.778	2012	1
Q	Rr	19120	4.080	2011	4
Q	Rr	20785	4.435	2011	3
Q	Rr	2457	0.524	2011	2
Q	Rr	0	0.000	2011	1
Q	Rr	16385	3.496	2010	4
Q	Rr	15939	3.401	2010	3
Q	*BT	R	39811	2015	3
m	Rr	509	0.109	2016	04
m	Rr	5647	1.205	2016	03
m	Rr	8248	1.760	2016	02
m	Rr	7955	1.697	2016	01
m	Rr	5779	1.233	2015	12
m	Rr	13000	2.774	2015	11
m	Rr	13957	2.978	2015	10
m	Rr	17468	3.727	2015	09
m	Rr	14784	3.155	2015	08
m	Rr	7559	1.613	2015	07
m	Rr	8171	1.744	2015	06
m	Rr	7505	1.601	2015	05
m	Rr	6920	1.477	2015	04
m	Rr	4963	1.059	2015	03
m	Rr	5463	1.166	2015	02
m	Rr	7112	1.518	2015	01
m	Rr	6669	1.423	2014	12
m	Rr	8960	1.912	2014	11
m	Rr	8010	1.709	2014	10
m	Rr	7752	1.654	2014	09
m	Rr	7263	1.550	2014	08
m	Rr	6889	1.470	2014	07
m	Rr	7569	1.615	2014	06
m	Rr	7340	1.566	2014	05
m	Rr	5606	1.196	2014	04
m	Rr	5313	1.134	2014	03
m	Rr	6137	1.310	2014	02
m	Rr	7522	1.605	2014	01
m	Rr	7877	1.681	2013	12
m	Rr	7527	1.606	2013	11
m	Rr	6408	1.367	2013	10
m	Rr	7139	1.523	2013	09
m	Rr	6996	1.493	2013	08
m	Rr	8076	1.723	2013	07
m	Rr	8061	1.720	2013	06
m	Rr	6455	1.377	2013	05
m	Rr	7812	1.667	2013	04
m	Rr	6375	1.360	2013	03
m	Rr	7615	1.625	2013	02
m	Rr	7755	1.655	2013	01
m	Rr	9071	1.936	2012	12
m	Rr	13265	2.831	2012	11
m	Rr	9463	2.019	2012	10
m	Rr	8030	1.713	2012	09
m	Rr	6751	1.441	2012	08
m	Rr	6554	1.398	2012	07
m	Rr	5682	1.212	2012	06
m	Rr	6457	1.378	2012	05
m	Rr	7502	1.601	2012	04
m	Rr	5179	1.105	2012	03
m	Rr	4107	0.876	2012	02
m	Rr	3732	0.796	2012	01
m	Rr	6629	1.415	2011	12
m	Rr	6144	1.311	2011	11
m	Rr	6347	1.354	2011	10
m	Rr	8513	1.817	2011	09
m	Rr	6638	1.416	2011	08
m	Rr	5634	1.202	2011	07
m	Rr	2457	0.524	2011	06
m	Rr	0	0.000	2011	05
m	Rr	0	0.000	2011	04
m	Rr	0	0.000	2011	03
m	Rr	0	0.000	2011	02
m	Rr	0	0.000	2011	01
m	Rr	1127	0.240	2010	12
m	Rr	7535	1.608	2010	11
m	Rr	7723	1.648	2010	10
m	Rr	11027	2.353	2010	09
m	Rr	4912	1.048	2010	08
m	*BT	R	17468	2015	09
W	Rr	18	0.004	2016	04	03
W	Rr	2014	0.430	2016	03	27
W	Rr	1397	0.298	2016	03	20
W	Rr	1544	0.329	2016	03	13
W	Rr	86	0.018	2016	03	06
W	Rr	1660	0.354	2016	02	28
W	Rr	1985	0.424	2016	02	21
W	Rr	1988	0.424	2016	02	14
W	Rr	1966	0.420	2016	02	07
W	Rr	1975	0.421	2016	01	31
W	Rr	1544	0.329	2016	01	24
W	Rr	2266	0.484	2016	01	17
W	Rr	1660	0.354	2016	01	10
W	Rr	1899	0.405	2016	01	03
W	Rr	1018	0.217	2015	12	27
W	Rr	715	0.153	2015	12	20
W	Rr	1719	0.367	2015	12	13
W	Rr	1581	0.337	2015	12	06
W	Rr	1866	0.398	2015	11	29
W	Rr	2036	0.434	2015	11	22
W	Rr	3085	0.658	2015	11	15
W	Rr	4479	0.956	2015	11	08
W	Rr	2637	0.563	2015	11	01
W	Rr	2755	0.588	2015	10	25
W	Rr	3217	0.686	2015	10	18
W	Rr	2506	0.535	2015	10	11
W	Rr	3503	0.747	2015	10	04
W	Rr	3867	0.825	2015	09	27
W	Rr	4355	0.929	2015	09	20
W	Rr	4391	0.937	2015	09	13
W	Rr	3869	0.826	2015	09	06
W	Rr	3738	0.798	2015	08	30
W	Rr	4539	0.969	2015	08	23
W	Rr	5824	1.243	2015	08	16
W	Rr	1767	0.377	2015	08	09
W	Rr	1718	0.367	2015	08	02
W	Rr	1436	0.306	2015	07	26
W	Rr	1846	0.394	2015	07	19
W	Rr	1599	0.341	2015	07	12
W	Rr	1573	0.336	2015	07	05
W	Rr	2138	0.456	2015	06	28
W	Rr	2656	0.567	2015	06	21
W	Rr	1799	0.384	2015	06	14
W	Rr	1514	0.323	2015	06	07
W	Rr	1576	0.336	2015	05	31
W	Rr	1607	0.343	2015	05	24
W	Rr	2359	0.503	2015	05	17
W	Rr	986	0.210	2015	05	10
W	Rr	1950	0.416	2015	05	03
W	Rr	1467	0.313	2015	04	26
W	Rr	1383	0.295	2015	04	19
W	Rr	1529	0.326	2015	04	12
W	Rr	1793	0.383	2015	04	05
W	Rr	1694	0.361	2015	03	29
W	Rr	1552	0.331	2015	03	22
W	Rr	1395	0.298	2015	03	15
W	Rr	1411	0.301	2015	03	08
W	Rr	15	0.003	2015	03	01
W	Rr	1508	0.322	2015	02	22
W	Rr	1422	0.303	2015	02	15
W	Rr	1184	0.253	2015	02	08
W	Rr	1349	0.288	2015	02	01
W	Rr	1548	0.330	2015	01	25
W	Rr	1618	0.345	2015	01	18
W	Rr	1812	0.387	2015	01	11
W	Rr	1699	0.363	2015	01	04
W	Rr	1485	0.317	2014	12	28
W	Rr	1479	0.316	2014	12	21
W	Rr	1453	0.310	2014	12	14
W	Rr	1465	0.313	2014	12	07
W	Rr	1488	0.318	2014	11	30
W	Rr	1606	0.343	2014	11	23
W	Rr	2021	0.431	2014	11	16
W	Rr	2704	0.577	2014	11	09
W	Rr	2248	0.480	2014	11	02
W	Rr	1507	0.322	2014	10	26
W	Rr	1836	0.392	2014	10	19
W	Rr	1819	0.388	2014	10	12
W	Rr	1673	0.357	2014	10	05
W	Rr	2383	0.508	2014	09	28
W	Rr	1857	0.396	2014	09	21
W	Rr	1735	0.370	2014	09	14
W	Rr	1924	0.411	2014	09	07
W	Rr	1278	0.273	2014	08	31
W	Rr	1531	0.327	2014	08	24
W	Rr	1690	0.361	2014	08	17
W	Rr	1693	0.361	2014	08	10
W	Rr	1807	0.386	2014	08	03
W	Rr	1649	0.352	2014	07	27
W	Rr	1393	0.297	2014	07	20
W	Rr	1706	0.364	2014	07	13
W	Rr	1428	0.305	2014	07	06
W	Rr	1936	0.413	2014	06	29
W	Rr	1904	0.406	2014	06	22
W	Rr	1678	0.358	2014	06	15
W	Rr	1426	0.304	2014	06	08
W	Rr	1745	0.372	2014	06	01
W	Rr	1390	0.297	2014	05	25
W	Rr	1617	0.345	2014	05	18
W	Rr	2189	0.467	2014	05	11
W	Rr	1555	0.332	2014	05	04
W	Rr	1120	0.239	2014	04	27
W	Rr	1327	0.283	2014	04	20
W	Rr	1300	0.277	2014	04	13
W	Rr	1420	0.303	2014	04	06
W	Rr	1519	0.324	2014	03	30
W	Rr	1229	0.262	2014	03	23
W	Rr	1593	0.340	2014	03	16
W	Rr	1781	0.380	2014	03	09
W	Rr	56	0.012	2014	03	02
W	Rr	1570	0.335	2014	02	23
W	Rr	1586	0.338	2014	02	16
W	Rr	1575	0.336	2014	02	09
W	Rr	1357	0.290	2014	02	02
W	Rr	1449	0.309	2014	01	26
W	Rr	1699	0.363	2014	01	19
W	Rr	1855	0.396	2014	01	12
W	Rr	1795	0.383	2014	01	05
W	Rr	1731	0.369	2013	12	29
W	Rr	1437	0.307	2013	12	22
W	Rr	1831	0.391	2013	12	15
W	Rr	1806	0.385	2013	12	08
W	Rr	2008	0.428	2013	12	01
W	Rr	1992	0.425	2013	11	24
W	Rr	1585	0.338	2013	11	17
W	Rr	1454	0.310	2013	11	10
W	Rr	1792	0.382	2013	11	03
W	Rr	2190	0.467	2013	10	27
W	Rr	1733	0.370	2013	10	20
W	Rr	1612	0.344	2013	10	13
W	Rr	1577	0.337	2013	10	06
W	Rr	34	0.007	2013	09	29
W	Rr	1567	0.334	2013	09	22
W	Rr	2061	0.440	2013	09	15
W	Rr	1976	0.422	2013	09	08
W	Rr	1501	0.320	2013	09	01
W	Rr	1476	0.315	2013	08	25
W	Rr	1748	0.373	2013	08	18
W	Rr	1381	0.295	2013	08	11
W	Rr	1759	0.375	2013	08	04
W	Rr	1973	0.421	2013	07	28
W	Rr	2097	0.447	2013	07	21
W	Rr	1809	0.386	2013	07	14
W	Rr	1546	0.330	2013	07	07
W	Rr	1653	0.353	2013	06	30
W	Rr	2089	0.446	2013	06	23
W	Rr	1574	0.336	2013	06	16
W	Rr	2196	0.469	2013	06	09
W	Rr	1543	0.329	2013	06	02
W	Rr	1630	0.348	2013	05	26
W	Rr	1170	0.250	2013	05	19
W	Rr	1586	0.338	2013	05	12
W	Rr	1623	0.346	2013	05	05
W	Rr	1394	0.297	2013	04	28
W	Rr	1723	0.368	2013	04	21
W	Rr	1800	0.384	2013	04	14
W	Rr	2138	0.456	2013	04	07
W	Rr	1886	0.402	2013	03	31
W	Rr	1546	0.330	2013	03	24
W	Rr	1923	0.410	2013	03	17
W	Rr	2049	0.437	2013	03	10
W	Rr	23	0.005	2013	03	03
W	Rr	1589	0.339	2013	02	24
W	Rr	2448	0.522	2013	02	17
W	Rr	1928	0.411	2013	02	10
W	Rr	1722	0.367	2013	02	03
W	Rr	1351	0.288	2013	01	27
W	Rr	1584	0.338	2013	01	20
W	Rr	1833	0.391	2013	01	13
W	Rr	1881	0.401	2013	01	06
W	Rr	2107	0.450	2012	12	30
W	Rr	2064	0.440	2012	12	23
W	Rr	1496	0.319	2012	12	16
W	Rr	2298	0.490	2012	12	09
W	Rr	2144	0.457	2012	12	02
W	Rr	3797	0.810	2012	11	25
W	Rr	2689	0.574	2012	11	18
W	Rr	3199	0.683	2012	11	11
W	Rr	2654	0.566	2012	11	04
W	Rr	3155	0.673	2012	10	28
W	Rr	1543	0.329	2012	10	21
W	Rr	2175	0.464	2012	10	14
W	Rr	2191	0.468	2012	10	07
W	Rr	2111	0.450	2012	09	30
W	Rr	2056	0.439	2012	09	23
W	Rr	1549	0.331	2012	09	16
W	Rr	1880	0.401	2012	09	09
W	Rr	2091	0.446	2012	09	02
W	Rr	1554	0.332	2012	08	26
W	Rr	1182	0.252	2012	08	19
W	Rr	1668	0.356	2012	08	12
W	Rr	1868	0.399	2012	08	05
W	Rr	1123	0.240	2012	07	29
W	Rr	2138	0.456	2012	07	22
W	Rr	1346	0.287	2012	07	15
W	Rr	1022	0.218	2012	07	08
W	Rr	1508	0.322	2012	07	01
W	Rr	1358	0.290	2012	06	24
W	Rr	1254	0.268	2012	06	17
W	Rr	1074	0.229	2012	06	10
W	Rr	1580	0.337	2012	06	03
W	Rr	1519	0.324	2012	05	27
